JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,School_Type,School_Location,Extra_Tutorials,Access_To_Learning_Materials,Parent_Involvement,IT_Knowledge,Student_ID,Age,Gender,Socioeconomic_Status,Parent_Education_Level,Assignments_Completed
267,30,87,5,12.9,0,0,1,0,2,1,30,17,0,0,2,2
133,13,94,2,13.2,1,0,0,1,2,2,31,22,1,1,0,1
199,21,58,5,11.8,0,0,0,1,1,1,32,19,1,0,2,3
147,14,71,3,2.9,0,1,1,1,1,0,33,19,1,2,2,2
177,27,76,2,10.3,0,0,0,0,0,0,34,18,0,2,0,1
239,35,81,2,16.0,0,0,1,0,0,2,35,21,1,2,2,2
181,23,88,1,8.6,0,1,1,1,0,1,36,19,1,1,1,3
123,12,84,1,6.3,0,1,0,0,2,2,37,22,1,1,1,2
140,17,88,3,2.8,0,0,1,0,0,2,39,17,1,2,0,1
144,10,73,2,6.3,0,1,0,0,2,0,40,21,1,0,2,1
206,27,75,3,15.0,1,1,0,0,1,2,41,15,1,0,2,3
100,18,83,3,13.6,0,0,0,1,1,0,42,22,0,2,0,1
223,38,81,3,8.3,0,0,0,1,1,1,43,19,1,1,1,2
134,10,91,1,8.7,0,0,0,1,1,1,45,18,1,0,2,1
104,21,93,2,19.7,1,0,0,1,1,1,46,21,1,2,2,2
133,11,88,1,7.8,0,0,0,1,1,2,49,21,1,1,0,1
222,14,100,1,12.9,0,0,1,0,1,0,50,16,0,1,0,1
136,19,76,2,9.5,0,0,1,0,1,2,51,15,1,2,1,1
185,0,96,4,12.5,0,0,0,0,1,1,52,16,1,0,2,1
164,3,86,3,15.4,0,0,1,0,2,2,53,18,1,0,2,1
146,16,91,1,12.0,0,1,0,1,2,1,54,19,1,1,0,1
100,14,81,1,7.2,0,1,0,0,1,1,55,15,0,2,0,3
113,11,93,4,10.4,0,0,1,0,1,2,56,22,1,2,0,2
108,0,82,1,3.3,0,1,0,1,0,0,57,18,1,0,2,1
189,13,71,2,5.9,1,1,1,1,2,0,58,17,1,0,2,1
262,30,100,4,5.7,1,1,1,1,0,2,59,16,0,0,0,3
231,30,79,4,17.6,1,0,0,0,2,0,60,22,1,2,0,4
151,18,95,4,11.7,1,1,0,1,1,0,61,16,0,0,2,1
103,24,79,1,16.2,0,1,0,0,2,1,62,15,0,1,0,1
122,19,92,1,11.5,0,0,0,1,2,1,63,22,0,1,0,1
114,8,91,2,14.2,0,1,1,1,1,1,64,15,1,2,0,1
135,14,86,3,12.3,0,1,0,1,2,1,65,17,1,2,0,2
185,20,89,4,7.4,0,1,1,0,2,2,67,22,1,0,2,2
141,27,63,1,5.2,0,0,0,1,1,2,68,22,1,0,2,2
156,24,84,3,18.4,0,0,0,1,1,2,69,22,1,2,0,1
143,14,84,3,5.4,0,1,1,1,1,2,71,22,1,2,1,1
161,31,73,2,2.4,0,1,0,1,1,1,72,21,0,1,0,4
191,19,74,2,17.7,1,1,1,1,1,2,73,18,1,2,2,2
161,32,99,2,11.9,0,1,0,0,0,0,74,18,1,2,2,2
226,24,98,1,4.1,0,0,1,1,2,1,75,15,1,2,2,4
176,26,84,3,10.9,0,0,0,1,2,1,76,16,1,2,1,4
169,33,86,2,14.7,0,1,0,1,1,2,77,21,0,2,1,1
108,12,78,3,18.6,0,1,0,1,1,1,78,20,0,1,1,1
243,37,82,5,17.9,0,0,0,1,2,2,80,22,1,2,1,2
231,23,97,3,9.1,0,1,1,1,1,0,81,22,1,2,1,3
151,6,80,3,5.7,0,0,0,1,0,2,82,17,1,2,1,1
138,12,82,2,9.1,1,1,1,0,1,1,84,19,1,1,0,1
155,19,77,1,5.9,0,1,1,1,0,1,85,16,1,0,1,1
298,40,95,3,8.7,0,0,1,1,1,0,86,17,0,2,1,4
191,15,80,1,18.0,1,1,0,1,2,2,87,18,0,0,2,3
236,16,93,5,7.3,0,1,1,1,0,0,88,18,0,0,1,1
201,6,79,5,10.5,0,1,1,1,0,2,90,16,0,2,1,1
154,15,79,2,7.6,0,1,1,1,1,1,93,19,1,2,2,1
116,1,85,3,0.0,0,0,1,0,0,2,94,16,0,0,2,1
123,30,86,1,10.0,0,1,1,1,2,2,95,20,0,2,0,5
197,22,96,1,2.0,1,0,1,1,2,2,96,16,1,2,2,2
110,27,75,1,8.8,0,0,1,1,2,0,97,19,0,0,1,1
158,10,80,4,9.4,0,0,0,0,1,2,99,15,0,2,1,1
228,26,78,5,15.7,0,0,0,1,1,0,100,21,1,2,2,1
158,16,89,1,8.6,0,1,0,1,1,2,101,17,0,1,0,1
225,13,76,4,19.6,0,1,0,0,2,0,102,15,0,0,2,2
232,8,88,2,3.3,0,1,1,1,2,0,105,16,0,2,1,1
156,13,100,1,9.4,0,1,1,0,2,2,108,16,0,1,1,2
215,11,69,3,7.5,0,1,0,1,2,0,111,22,1,0,1,1
159,19,88,2,14.4,0,1,1,1,1,1,112,17,1,2,1,1
200,30,75,2,10.6,0,1,1,1,1,0,113,21,1,0,2,4
211,26,88,3,11.9,0,1,0,0,2,2,114,15,0,0,1,3
131,15,76,4,8.2,0,1,0,1,2,1,115,17,0,2,2,1
108,0,70,2,7.9,0,0,0,1,2,2,116,22,0,2,0,1
218,16,79,2,5.0,0,1,0,0,0,1,117,18,1,1,0,1
102,15,82,3,9.0,1,0,0,1,2,0,118,21,1,1,0,1
153,11,71,2,9.3,0,1,1,1,2,1,119,17,0,0,1,1
123,17,74,1,1.1,0,1,0,1,1,0,120,18,0,1,1,1
171,26,90,5,17.8,1,1,1,1,2,0,121,15,0,1,1,1
183,29,100,2,1.2,1,1,1,0,1,1,122,18,0,2,1,1
188,10,90,2,11.3,0,0,1,0,2,2,123,15,1,0,1,2
192,40,77,3,6.9,0,1,0,0,1,2,124,16,0,0,0,4
245,32,85,5,10.9,0,0,0,1,1,0,125,18,0,0,1,4
153,18,83,1,13.8,0,1,0,0,2,0,126,17,1,1,0,1
232,40,96,5,4.0,1,0,1,1,2,0,128,22,1,0,2,3
263,14,92,3,6.6,0,1,1,1,2,1,129,19,0,0,2,2
119,13,89,1,13.4,0,1,0,1,2,1,130,17,1,2,2,1
107,0,77,1,0.0,1,1,0,1,2,0,131,20,0,2,0,1
116,17,93,2,4.5,0,1,1,0,1,1,132,21,0,1,1,1
147,21,81,4,5.5,0,0,1,1,2,0,133,19,1,0,2,2
221,23,78,2,11.3,1,0,1,0,1,0,134,22,1,0,1,2
245,20,100,4,12.4,1,1,1,0,2,2,135,17,1,1,0,3
126,19,74,1,5.0,0,1,0,1,1,1,137,18,0,0,2,1
120,28,75,2,15.6,0,1,0,0,2,1,138,16,0,2,1,1
127,10,100,4,16.0,0,1,0,0,0,2,139,20,1,1,0,1
196,25,100,3,7.0,0,1,1,0,2,0,140,18,0,0,2,1
247,11,100,3,7.6,0,1,0,1,0,2,141,15,1,2,1,2
234,29,85,3,13.3,1,1,1,1,2,2,142,16,1,2,1,2
116,11,100,3,16.2,0,1,1,1,0,1,143,21,1,2,1,1
129,9,85,2,3.1,1,0,1,1,1,1,144,20,1,2,2,1
105,7,89,3,8.9,0,0,1,1,1,0,145,18,0,2,1,1
136,13,84,1,17.4,0,1,0,0,2,1,146,16,1,2,2,1
145,21,82,4,16.9,1,1,0,1,0,1,147,15,1,0,1,2
198,10,83,2,11.6,0,0,1,0,1,0,148,20,1,1,0,1
162,15,82,2,6.4,1,0,1,1,1,2,149,19,1,0,1,1
166,9,87,3,4.3,1,1,0,1,1,0,151,20,1,0,1,1
224,40,87,3,17.1,0,0,0,1,1,2,152,21,0,1,2,3
153,10,97,3,9.1,0,0,1,1,2,1,153,22,0,2,1,1
145,11,54,1,3.0,0,1,1,1,2,0,154,21,1,2,0,1
231,15,93,4,2.6,0,0,0,0,0,1,155,16,0,2,1,2
122,32,88,3,8.7,0,1,0,1,2,2,156,16,0,1,1,3
226,29,98,4,0.0,1,1,1,1,2,0,157,15,1,2,1,4
189,12,85,2,6.7,0,0,1,1,1,0,158,20,0,1,2,2
132,26,84,3,5.1,1,1,1,1,2,1,159,18,1,2,2,1
247,27,98,3,9.0,0,1,1,1,2,1,160,19,0,0,2,1
198,18,83,4,14.2,1,0,1,0,0,0,162,16,1,2,1,2
223,17,90,3,8.5,0,1,0,0,1,2,163,16,1,1,0,1
106,17,96,1,11.8,0,0,0,0,2,2,164,16,0,1,1,1
207,39,80,3,14.9,1,1,0,1,1,2,166,20,1,2,0,2
115,3,94,2,12.3,1,1,1,1,1,0,167,15,1,1,0,1
283,28,96,2,8.9,1,0,1,1,2,1,169,19,0,0,1,3
222,26,83,4,9.8,1,0,1,1,0,2,170,15,0,2,2,1
150,25,74,1,15.3,0,1,0,1,1,1,171,20,1,2,2,2
121,23,96,2,3.8,0,0,1,0,0,1,173,16,1,2,1,4
185,0,79,4,9.1,0,1,1,1,0,1,174,20,1,0,0,1
241,19,89,3,17.0,1,1,0,1,1,0,175,19,1,2,1,1
153,9,76,3,16.6,0,0,1,0,1,2,176,17,0,2,1,1
196,10,94,3,6.7,0,1,0,1,1,0,177,17,1,2,1,1
159,16,78,2,11.3,0,1,0,0,2,2,178,22,0,1,0,2
204,26,85,3,10.0,0,1,1,0,1,2,179,19,0,1,1,2
105,20,64,2,13.9,0,1,0,1,2,1,180,22,0,0,1,2
229,26,72,1,6.8,0,0,1,1,2,2,181,16,1,2,1,1
154,12,83,2,11.7,0,0,1,0,2,1,182,16,0,2,0,1
215,26,74,3,10.5,0,1,0,1,2,0,183,22,0,2,1,3
268,36,71,3,4.3,0,0,1,1,1,1,185,16,1,2,0,2
154,25,75,2,11.3,0,0,0,0,1,1,186,15,1,2,1,2
225,24,88,2,6.3,0,1,1,1,2,2,187,16,1,0,1,3
111,8,70,2,1.8,0,0,1,1,1,1,189,18,1,1,1,1
157,13,74,2,3.6,0,1,1,1,0,2,190,18,0,1,1,2
133,13,72,3,20.0,0,1,0,0,2,1,191,19,1,2,2,1
247,28,86,3,13.3,1,1,1,0,1,2,192,21,0,1,2,2
244,32,100,2,6.8,0,1,1,1,2,1,193,21,0,2,0,1
163,19,95,5,10.8,0,0,0,1,1,2,195,20,0,1,0,3
121,16,86,1,8.4,0,0,0,1,2,1,196,21,1,1,1,1
215,15,60,3,6.8,1,1,0,1,2,2,198,21,0,1,0,1
221,8,84,3,13.0,0,1,0,1,0,2,199,17,0,0,2,1
263,21,100,4,20.0,1,0,0,0,2,2,200,17,1,1,0,2
246,30,83,3,4.2,0,0,0,1,2,0,201,21,1,0,2,4
295,23,100,3,3.7,1,1,1,0,2,2,202,21,0,0,2,2
168,17,98,3,0.0,1,0,1,0,1,0,203,15,0,1,0,1
189,25,81,2,20.0,0,0,1,0,1,0,204,22,1,0,2,1
184,25,80,3,6.0,0,1,0,1,2,2,205,17,1,2,0,1
122,24,75,2,1.6,0,1,1,1,2,0,207,15,1,1,0,2
204,32,74,3,7.2,0,1,1,1,2,1,208,20,0,2,2,3
151,7,87,3,15.1,1,1,1,1,1,0,209,18,1,0,1,1
118,7,67,3,6.6,0,1,1,1,1,1,210,21,1,1,1,1
100,24,85,4,13.6,0,1,0,0,1,1,211,18,0,1,1,1
103,12,86,1,9.2,1,0,0,1,1,0,212,17,1,2,1,1
179,0,69,3,8.9,0,1,1,1,0,1,213,17,1,1,0,1
191,8,100,3,0.9,0,1,0,1,2,2,214,16,0,2,0,2
190,19,90,2,0.5,1,1,1,1,1,0,215,18,0,2,1,1
150,18,89,2,8.4,1,1,1,0,2,2,218,17,0,2,2,2
111,28,91,3,17.9,0,1,0,0,0,2,219,18,0,2,0,1
132,13,81,3,14.0,0,0,0,1,2,2,220,18,0,2,2,1
142,27,100,1,0.0,0,0,0,1,0,0,221,17,1,2,1,1
212,36,87,3,7.7,0,0,1,0,0,1,222,18,0,2,1,3
245,38,100,3,4.1,0,1,1,1,1,2,223,17,1,0,2,4
299,33,95,3,9.7,0,1,1,1,1,0,224,21,1,1,1,2
180,2,90,2,12.7,0,1,0,1,2,2,225,21,0,2,1,1
192,25,70,2,9.7,0,1,0,1,0,1,226,19,1,2,1,3
189,30,89,3,11.2,0,1,0,1,0,1,227,17,1,2,1,3
106,13,73,3,18.4,0,1,0,1,2,1,228,18,1,0,2,1
249,40,81,2,14.3,0,0,1,0,2,0,229,19,0,2,0,4
128,24,98,3,6.9,0,1,0,0,2,0,230,21,1,2,1,3
274,33,89,2,10.9,0,1,1,0,0,1,231,18,1,0,1,2
135,26,72,1,10.3,0,0,0,1,1,1,232,18,1,1,0,1
198,0,73,4,8.1,0,0,1,1,2,0,234,19,0,0,1,1
135,12,95,3,4.5,0,1,1,1,2,0,235,20,1,1,2,1
195,32,79,3,15.4,0,1,0,1,2,2,236,16,1,2,1,4
161,11,88,2,7.2,0,1,1,0,1,1,237,19,0,2,1,1
112,5,76,2,5.6,1,0,1,0,2,1,239,20,1,2,1,1
198,38,91,2,17.0,0,1,1,1,0,0,240,20,1,1,1,3
216,38,77,2,8.2,0,0,1,0,0,1,241,18,1,2,1,4
183,12,100,2,1.1,0,1,0,1,2,0,242,18,1,2,1,2
185,22,94,1,10.4,0,0,1,0,0,1,243,21,0,0,2,1
118,9,79,1,8.1,0,0,1,0,1,2,244,16,0,2,1,1
111,20,73,2,6.7,1,1,0,0,0,2,245,22,1,2,0,1
206,30,83,2,0.3,1,0,1,0,0,0,247,17,1,2,0,3
194,24,100,2,7.2,0,0,1,1,1,0,248,22,1,2,0,2
115,5,82,1,19.1,0,0,1,1,2,1,250,22,0,0,2,1
151,14,82,2,7.6,0,1,0,1,1,1,252,15,0,0,2,1
199,7,85,3,1.4,0,1,0,1,1,2,253,18,1,2,1,1
115,1,79,3,12.2,0,1,0,0,1,0,254,17,0,0,1,1
138,8,88,2,13.9,0,1,0,1,2,2,256,20,1,2,0,1
104,5,84,3,13.3,0,1,0,0,2,1,257,22,1,2,2,1
192,26,57,4,15.5,0,1,1,1,0,0,258,19,0,2,1,2
108,12,64,2,3.9,0,1,0,1,1,2,260,15,0,2,1,1
116,23,87,4,11.6,0,1,1,1,1,1,261,17,0,0,0,1
206,15,100,4,11.6,0,1,0,1,1,2,262,21,0,0,2,2
139,14,73,2,19.6,0,1,0,0,0,2,263,18,1,0,2,2
249,29,87,2,5.6,0,1,0,1,2,0,264,17,0,2,2,4
165,1,78,3,1.6,0,0,1,1,2,1,265,16,0,2,2,1
236,3,100,2,12.6,0,1,0,0,1,2,266,15,0,0,2,2
164,23,100,3,7.9,0,1,1,1,0,2,268,17,1,2,2,2
116,33,85,3,1.8,1,1,0,1,2,2,269,19,1,2,1,4
188,22,87,2,8.8,0,1,1,1,0,2,270,19,1,1,1,3
135,24,82,2,9.4,0,1,0,1,1,2,271,17,1,2,1,3
173,35,85,2,17.4,0,1,1,1,2,2,274,18,1,2,1,3
138,0,81,2,14.5,0,1,1,0,1,1,275,19,1,2,1,1
144,21,89,2,5.1,0,1,1,0,1,2,276,18,0,2,2,2
277,40,89,2,10.6,0,0,1,1,2,0,277,18,1,0,0,4
119,18,71,2,13.3,0,1,0,0,2,2,278,17,0,0,2,1
240,40,88,2,12.1,0,1,1,1,0,0,279,19,0,2,1,3
102,8,70,3,11.5,0,0,0,1,1,1,280,17,1,2,1,1
161,18,65,2,1.4,0,1,1,1,2,1,281,16,1,1,0,3
124,16,88,1,11.3,0,0,0,0,2,1,282,18,0,0,1,1
137,0,87,1,14.4,0,1,1,1,2,2,283,15,0,2,0,1
281,19,100,4,0.0,0,1,0,0,2,2,285,20,1,2,0,2
146,25,76,2,12.9,0,1,1,0,1,1,286,18,0,1,0,2
184,28,71,3,15.9,1,0,0,0,2,0,287,15,1,2,1,4
135,19,81,3,13.0,0,1,0,1,1,2,288,17,1,1,0,3
119,22,78,2,9.9,0,0,1,1,1,2,289,19,0,1,1,1
246,24,81,3,5.7,0,1,0,1,2,0,290,18,0,1,0,1
113,25,80,3,5.5,0,0,0,1,1,0,291,16,0,2,1,1
100,14,74,2,16.1,0,0,0,1,2,1,292,18,1,2,1,5
102,14,62,3,15.6,0,1,1,1,1,2,293,15,1,1,1,1
156,16,79,3,11.8,0,1,1,1,2,2,294,22,1,2,1,1
171,16,86,2,16.5,0,0,1,1,1,1,296,15,1,1,1,1
235,15,100,2,4.5,0,0,1,1,1,0,299,16,1,2,0,1
157,24,90,2,7.5,0,0,1,1,2,0,300,16,0,0,2,1
227,23,73,3,4.8,1,1,1,0,1,2,301,15,1,0,2,2
240,21,100,3,2.4,1,0,1,1,1,2,302,16,1,2,1,2
116,9,81,4,16.7,0,0,1,0,1,2,304,17,0,2,0,1
219,21,100,4,15.5,0,0,1,0,2,0,305,20,0,1,1,3
128,28,76,2,19.9,0,0,0,0,1,0,306,16,0,1,0,3
234,39,70,2,11.7,0,1,1,1,1,0,307,20,0,2,1,2
168,17,100,3,6.0,0,0,1,1,1,1,309,19,0,0,1,2
229,16,88,5,11.9,0,1,1,1,0,2,311,17,0,0,1,1
104,6,80,2,11.3,1,1,0,1,2,1,312,16,0,2,0,1
282,7,86,3,14.1,0,1,0,0,2,2,313,17,1,2,0,1
117,30,77,2,5.4,0,1,1,1,2,1,314,18,1,1,1,2
148,10,83,3,14.3,0,1,0,0,0,0,315,17,0,1,0,2
125,14,76,1,16.3,0,0,0,1,2,2,316,20,1,2,2,1
185,12,71,5,5.7,0,0,1,1,0,1,317,21,1,2,0,1
197,18,96,4,18.6,0,0,0,0,0,1,319,17,1,1,0,1
255,30,82,3,12.9,0,1,1,0,0,0,321,16,1,2,0,1
168,6,72,4,12.0,1,0,1,1,2,2,322,17,1,2,1,1
102,6,77,3,9.8,0,1,0,1,2,2,323,20,0,1,1,1
173,7,90,2,7.7,0,1,0,1,0,1,325,19,0,1,1,1
184,22,92,2,10.1,1,0,0,1,0,2,326,16,1,1,0,1
100,0,88,1,13.0,0,1,0,1,1,2,327,15,1,1,0,1
176,6,88,4,7.9,0,1,0,1,2,0,328,18,1,1,1,1
200,22,87,1,10.3,0,1,1,1,1,2,329,22,1,1,0,3
131,11,88,3,1.2,0,1,0,1,1,1,330,15,0,2,2,1
280,40,86,2,5.8,0,1,1,0,0,0,331,16,0,1,1,3
225,40,74,2,14.2,0,0,1,0,2,2,332,15,1,0,2,1
153,10,90,1,12.7,0,0,0,1,1,0,333,18,1,0,2,1
149,23,94,2,10.0,0,0,0,1,2,1,334,22,0,1,0,3
153,25,72,4,3.6,1,1,0,1,2,1,335,20,0,1,0,1
193,16,93,3,2.6,0,0,0,0,1,1,336,20,0,2,0,3
156,5,99,1,12.2,0,0,1,0,1,0,337,17,0,0,1,1
146,17,83,3,15.1,0,1,1,1,2,1,338,15,0,1,0,1
184,19,77,4,15.3,0,0,0,0,1,2,339,20,0,2,1,1
174,16,85,3,8.7,0,1,0,1,1,2,340,16,1,2,0,1
237,29,83,5,0.0,0,1,0,1,2,2,341,19,1,0,1,3
197,11,90,3,17.9,0,0,0,1,1,1,343,15,0,2,0,2
178,21,69,2,13.7,0,1,1,1,0,1,344,19,0,1,0,1
150,2,86,2,8.4,1,0,1,0,2,2,348,19,1,2,2,1
216,21,88,2,4.0,0,1,1,1,0,1,350,22,1,1,0,2
183,15,91,1,7.2,1,0,0,1,1,2,351,19,1,2,1,1
165,36,91,1,15.5,0,1,1,0,1,0,353,15,0,0,2,1
246,40,89,3,8.5,1,0,1,1,1,0,355,16,1,2,2,5
215,27,86,3,5.1,1,1,0,1,2,1,356,16,1,2,1,2
215,24,97,2,9.3,0,1,1,1,1,1,357,21,1,2,1,1
103,18,67,2,10.5,0,1,1,1,1,2,358,17,1,0,1,1
166,40,62,3,8.9,0,1,0,0,0,1,359,22,0,1,2,5
126,7,79,3,11.8,0,1,0,1,2,2,360,22,0,2,1,1
149,7,87,4,9.8,1,1,0,0,0,2,361,15,1,2,2,2
254,27,100,3,9.6,1,1,0,1,2,0,363,15,1,0,2,1
141,1,86,1,10.5,0,1,1,0,0,1,364,16,1,2,0,1
220,24,82,3,9.7,0,1,1,1,1,2,365,18,1,1,0,3
189,22,83,2,15.5,0,0,1,0,1,2,367,16,1,2,2,2
148,15,92,3,1.2,0,0,0,1,2,1,368,18,0,0,2,1
125,24,81,3,13.9,0,0,1,0,0,2,370,20,0,0,1,2
185,13,89,3,6.1,0,0,0,1,2,0,371,17,1,2,1,1
247,40,95,3,16.4,0,0,0,1,1,1,373,18,1,0,1,3
225,26,100,2,15.0,0,1,1,1,2,2,374,17,0,0,1,2
107,14,78,1,9.3,1,1,1,0,1,2,375,17,0,1,1,3
151,27,72,3,0.0,0,0,1,1,2,2,376,15,0,1,1,3
221,33,87,5,3.1,1,0,0,1,2,2,377,18,1,0,1,1
227,17,67,2,10.7,0,0,1,0,0,2,378,19,0,0,2,3
187,16,88,3,20.0,1,0,0,1,1,2,379,18,1,0,2,1
125,4,86,2,10.1,0,0,1,0,1,1,380,21,0,1,0,1
256,30,100,2,7.2,0,1,0,1,0,0,381,21,1,0,2,2
122,21,79,2,12.5,0,1,1,1,1,2,382,18,0,0,2,1
117,3,85,1,15.0,0,0,1,1,2,1,383,17,1,2,0,1
198,17,78,4,8.9,0,1,1,0,1,2,384,22,0,0,1,1
163,6,80,1,14.9,1,1,1,0,1,1,385,20,1,1,0,1
236,17,74,3,0.0,1,0,1,0,1,1,386,18,0,1,1,1
238,30,86,2,1.5,1,0,0,1,1,0,387,18,0,1,0,3
185,14,82,2,6.5,0,0,1,0,2,0,388,20,1,1,2,1
143,14,85,4,9.9,0,1,1,1,2,2,389,17,1,2,0,1
212,8,81,3,13.0,0,1,1,0,0,0,390,17,1,0,1,1
117,14,78,2,2.2,0,1,0,0,1,1,392,15,0,2,1,1
246,19,86,2,4.8,0,1,1,1,2,2,393,15,1,2,2,2
107,12,81,2,9.7,0,1,0,1,1,1,394,18,0,1,0,2
182,22,85,3,5.2,0,1,0,0,0,0,395,22,0,0,2,1
105,6,87,4,7.9,1,0,0,0,2,1,396,18,1,0,2,1
155,34,80,2,5.2,1,1,0,0,1,2,398,16,0,2,0,2
169,13,82,2,7.4,0,1,0,1,1,0,399,19,1,1,1,2
132,15,75,3,6.1,1,1,1,1,1,0,400,16,0,2,1,1
247,40,100,4,10.5,0,1,1,1,0,2,402,16,1,1,0,4
229,28,85,2,12.8,0,0,1,1,1,2,404,17,0,0,2,3
208,16,83,4,17.8,0,0,1,1,1,2,405,17,1,0,2,1
230,19,85,4,14.0,0,1,1,1,1,1,406,19,0,0,1,2
135,10,79,3,15.2,0,0,1,0,2,2,407,22,0,1,2,1
105,4,83,3,13.3,0,0,1,0,1,1,408,17,0,1,1,1
191,21,69,3,1.8,0,0,1,1,2,0,409,18,1,2,1,1
178,7,94,4,10.7,0,1,1,1,2,1,410,20,0,2,0,1
201,22,74,2,8.3,1,0,1,1,2,1,412,20,0,2,1,3
144,13,73,2,13.3,0,1,1,1,1,0,414,15,1,1,0,1
169,16,82,2,11.2,0,0,1,0,1,1,415,21,0,0,1,3
167,22,100,4,10.6,0,1,1,0,1,1,416,19,0,1,1,1
196,11,91,3,3.9,0,1,1,1,1,2,417,21,0,0,2,1
111,11,63,2,3.8,0,1,1,1,1,2,418,17,0,1,1,1
225,16,81,3,7.0,0,1,0,1,2,0,419,17,1,2,2,1
137,8,81,5,4.1,0,1,1,1,1,1,420,15,0,1,0,1
110,0,83,1,9.8,1,0,1,1,2,2,421,21,1,1,1,1
176,32,72,2,10.8,0,0,1,1,2,2,422,16,0,0,2,1
132,10,80,1,4.4,1,1,1,0,1,1,423,18,0,0,2,1
109,25,73,2,8.2,1,1,1,0,2,1,424,17,0,2,2,4
109,24,70,2,14.4,0,1,1,1,2,0,425,21,0,2,2,3
112,3,83,2,5.6,0,0,0,1,1,2,426,20,1,0,0,1
183,10,92,2,11.0,0,0,1,0,0,1,427,15,1,1,2,1
236,40,96,3,11.0,0,1,1,0,1,0,428,15,1,0,1,5
308,40,98,3,4.0,0,1,0,1,0,1,429,16,1,2,2,1
123,15,76,2,11.0,0,0,0,1,0,1,430,21,0,1,1,2
134,19,89,3,8.4,0,1,0,1,2,2,431,20,0,1,1,1
148,12,86,3,6.9,0,1,1,1,2,0,432,20,1,1,0,3
159,22,85,3,14.2,1,1,1,0,0,2,433,22,0,2,0,1
177,13,79,4,8.0,1,0,0,1,1,0,434,22,0,2,0,2
175,8,85,2,14.9,0,1,0,0,2,1,436,16,0,2,0,1
100,14,100,1,8.5,0,1,1,0,0,1,437,19,0,1,2,1
228,23,82,2,4.2,1,1,1,1,0,0,439,18,0,0,2,2
240,15,81,4,4.1,0,1,1,1,1,2,440,15,0,1,0,2
220,31,100,3,0.0,0,0,0,1,0,2,442,18,1,2,0,3
218,25,83,2,3.9,0,0,1,1,2,2,443,22,1,2,2,2
125,15,90,4,6.9,0,1,1,1,0,2,444,21,0,1,1,1
188,29,82,2,6.5,0,0,0,1,1,0,445,22,0,2,1,3
171,32,92,2,15.1,0,1,0,1,0,2,447,15,1,2,0,4
113,10,75,4,9.6,1,0,0,0,1,1,448,22,1,1,0,1
137,13,76,2,8.4,0,0,0,0,2,2,449,18,0,1,1,1
162,7,99,2,12.2,0,1,1,0,2,2,450,21,0,1,2,1
124,12,90,2,8.1,0,1,1,0,1,2,451,17,1,2,0,1
165,28,91,2,3.8,1,1,0,1,1,1,452,22,0,2,1,3
150,29,90,2,12.4,0,1,1,1,1,2,453,15,1,0,1,3
141,27,83,3,19.5,0,1,0,1,0,0,456,16,1,2,0,2
214,6,92,2,5.6,1,0,1,0,2,1,457,17,1,0,2,2
126,12,73,2,10.3,0,0,1,1,1,2,459,19,0,1,0,1
137,23,71,2,15.4,0,0,1,1,2,2,460,19,1,1,0,2
126,4,93,3,11.5,0,1,1,1,0,1,461,20,1,1,0,1
167,30,60,2,4.5,1,0,1,1,1,2,462,16,0,1,0,1
